"timestamp","deaths","totalPositive","saludTimeSignature","negativeCases","testsInProgress","conductedTests","molecularPositive","serologicalPositive"
"3/12/2020, 7:00:00 AM","0","0","","","","","",""
"3/13/2020, 7:00:00 AM","0","3","","","","","",""
"3/14/2020, 7:00:00 AM","0","4","","","","","",""
"3/15/2020, 7:00:00 AM","0","5","","","","","",""
"3/16/2020, 7:00:00 AM","0","dataNotPublished","","","","","",""
"3/17/2020, 7:00:00 AM","0","5","","","","","",""
"3/18/2020, 7:00:00 AM","0","6","","","","","",""
"3/19/2020, 7:00:00 AM","0","6","","","","","",""
"3/20/2020, 7:00:00 AM","0","14","","","","","",""
"3/21/2020, 7:00:00 AM","1","21","","","","","",""
"3/22/2020, 7:00:00 AM","1","23","","","","","",""
"3/23/2020, 7:00:00 AM","2","31","","","","","",""
"3/24/2020, 7:00:00 AM","2","39","","","","","",""
"3/25/2020, 7:00:00 AM","2","51","","","","","",""
"3/26/2020, 7:00:00 AM","2","64","","","","","",""
"3/27/2020, 7:00:00 AM","3","79","","","","","",""
"3/28/2020, 7:00:00 AM","3","100","","","","","",""
"3/29/2020, 7:00:00 AM","5","127","","","","","",""
"3/30/2020, 7:00:00 AM","6","174","","","","","",""
"3/31/2020, 7:00:00 AM","8","239","","","","","",""
"4/1/2020, 7:00:00 AM","11","286","","","","","",""
"4/2/2020, 7:00:00 AM","12","316","","","","","",""
"4/3/2020, 7:00:00 AM","15","378","","","","","",""
"4/4/2020, 7:00:00 AM","18","452","","","","","",""
"4/5/2020, 7:00:00 AM","20","475","","","","","",""
"4/6/2020, 7:00:00 AM","21","513","","","","","",""
"4/7/2020, 7:00:00 AM","","573","","","","","",""
"4/8/2020, 7:00:00 AM","","620","","","","","",""
"4/9/2020, 7:00:00 AM","","683","","","","","",""
"4/10/2020, 7:00:00 AM","","725","","","","","",""
"4/11/2020, 7:00:00 AM","","788","","","","","",""
"4/12/2020, 7:00:00 AM","44","897","(Datos al 12 de abril de 2020, 7:00 am)","5819","1251","7973","",""
"4/13/2020, 7:00:00 AM","45","903","","5960","1288","8157","",""
"4/14/2020, 9:10:05 PM","45","923","
    (Datos al 14 de abril de 2020, 7:00 am)","6284","1322","8535","",""
"4/15/2020, 8:42:11 PM","51","974","
    (Datos al 15 de abril de 2020, 7:00 am)","6825","1404","9209","",""
"4/16/2020, 9:30:10 AM","56","1043","
    (Datos al 16 de abril de 2020, 7:00 am)","7315","1465","9829","",""
"4/17/2020, 9:30:10 AM","58","1068","
    (Datos al 17 de abril de 2020, 7:00 am)","7864","1472","10410","",""
"4/18/2020, 9:30:13 AM","60","1118"," 
    (Datos al 18 de abril de 2020, 7:00 am)","8055","1752","10933","",""
"4/19/2020, 9:30:11 AM","62","1213"," 
    (Datos al 19 de abril de 2020, 7:00 am)","8280","1830","11332","",""
"4/20/2020, 9:30:11 AM","63","1252"," 
    (Datos al 20 de abril de 2020, 7:00 am)","8486","1886","11633","",""
"4/21/2020, 9:30:11 AM","dataNotPublished","1298","Manual para 21 de abril de 2020","8789","1751","dataNotPublished","",""
"4/22/2020, 9:30:11 AM","dataNotPublished","1378","Manual para 22 de abril de 2020","8842","1944","dataNotPublished","",""
"4/23/2020, 10:42:42 PM","69","1416","Manual para 23 de abril de 2020","9313","1940","12174","",""
"4/24/2020, 9:09:09 PM","77","1276","(Datos al 24 de abril de 2020, 7:00 am)","","","","",""
"4/25/2020, 9:09:09 PM","83","1307","(Datos al 25 de abril de 2020, 7:00 am)","","","","",""
"4/26/2020, 9:09:09 PM","84","1371","(Datos al 26 de abril de 2020, 7:00 am)","","","","",""
"4/27/2020, 9:09:09 PM","84","1389","(Datos al 27 de abril de 2020, 7:00 am)","","","","",""
"4/28/2020, 9:09:09 PM","86","1400","(Datos al 28 de abril de 2020, 7:00 am)","","","","",""
"4/29/2020, 9:09:09 PM","86","1433","(Datos al 29 de abril de 2020, 7:00 am)","","","","",""
"4/30/2020, 9:09:09 PM","92","1539","(Datos al 30 de abril de 2020, 7:00 am)","","","","",""
"5/1/2020, 9:09:09 PM","94","1575","(Datos al 1 de mayo 2020, 7:00 am)","","","","",""
"5/2/2020, 9:09:09 PM","95","1757","(Datos al 2 de mayo 2020, 7:00 am)","","","","",""
"5/3/2020, 9:09:09 PM","97","1808","(Datos al 3 de mayo 2020, 7:00 am)","","","","",""
"5/4/2020, 9:09:09 PM","97","1843","(Datos al 4 de mayo 2020, 7:00 am)","","","","",""
"5/5/2020, 3:25:37 PM","99","1924"," 
    (Datos al 5 de mayo de 2020, 6:30 am)","","","","1005","919"
"5/6/2020, 9:30:14 AM","99","1968"," 
    (Datos al 6 de mayo de 2020, 6:30 am)","","","","1006","962"
"5/7/2020, 9:30:10 AM","102","2031"," 
    (Datos al 7 de mayo de 2020, 6:30 am)","","","","1013","1018"
"5/8/2020, 9:30:11 AM","107","2156","
    (Datos al 8 de mayo de 2020, 6:30 am)","","","","1029","1127"
"5/9/2020, 10:44:11 AM","108","2173","    (Datos al 9 de mayo de 2020, 6:30 am)","","","","1034","1139"
"5/10/2020, 9:30:09 AM","111","2198","
    (Datos al 10 de mayo de 2020, 6:30 am)","","","","1040","1158"
"5/11/2020, 9:30:11 AM","113","2256","
    (Datos al 11 de mayo de 2020, 6:30 am)","","","","1054","1202"
"5/12/2020, 9:30:16 AM","114","2299","
    (Datos al 12 de mayo de 2020, 6:30 am)","","","","1062","1237"
"5/13/2020, 9:30:15 AM","115","2329","
    (Datos al 13 de mayo de 2020, 6:30 am)","","","","1064","1265"
"5/14/2020, 9:30:15 AM","117","2427","
    (Datos al 14 de mayo de 2020, 6:30 am)","","","","1073","1354"
"5/15/2020, 9:30:17 AM","122","2542","
    (Datos al 15 de mayo de 2020, 6:30 am)","","","","1088","1454"
"5/16/2020, 9:30:15 AM","122","2589","
    (Datos al 16 de mayo de 2020, 6:30 am)","","","","1114","1475"
"5/18/2020, 9:30:15 AM","124","2710","
    (Datos al 18 de mayo de 2020, 6:30 am)","","","","1195","1515"
"5/19/2020, 2:18:58 PM","124","2805","
    (Datos al 19 de mayo de 2020, 6:30 am)","","","","1207","1598"
"5/20/2020, 9:30:16 AM","125","2866","
    (Datos al 20 de mayo de 2020, 6:30 am)","","","","1206","1660"
"5/21/2020, 9:30:13 AM","126","2913","
    (Datos al 21 de mayo de 2020, 6:30 am)","","","","1213","1700"
